,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
163,1647740824000.0,2022-03-20 01:47:04,+0000,,@AGoldsmithEsq @Bob_Wachter @US_FDA @CountyofLA That’s an interesting point-the visual reminder. In my neck of the woods we are still operating as status quo. Just returned from Target with probably 50 people in the store. Every single one was wearing a mask. This despite no indoor mask mandate.   I was wearing mine too (N95).,en,[],[],1167159309668503553,1167159309668503553,santa_care,Santa Monica Primary Care,7,01,https://twitter.com/santa_care/status/1505360243403853824,[],[],0,,False,1,1,0,,mask US,,,,,,,"[{'screen_name': 'AGoldsmithEsq', 'name': 'Anthony Goldsmith', 'id': '739595086044876800'}, {'screen_name': 'Bob_Wachter', 'name': 'Bob Wachter', 'id': '239210681'}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': '208120290'}, {'screen_name': 'CountyofLA', 'name': 'Los Angeles County', 'id': '193771633'}]",
164,1647740736000.0,2022-03-20 01:45:36,+0000,,@rushall6 @JFVandermeij Free to choose. Your rights do not extend to others faces + the shaming is over.  It's an indoctrinated hypochondriac thought pattern based on fear. 2 weeks to flatten the curve ..still afraid? Wear your mask + leave us to breathe. You're time is up.,en,[],[],1281992795721535489,1281992795721535489,stonehouseholi1,stonehouseholistics,7,01,https://twitter.com/stonehouseholi1/status/1505359873747214337,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'rushall6', 'name': 'Jay Rush', 'id': '1498065931175669764'}, {'screen_name': 'JFVandermeij', 'name': 'Julie Vandermeij', 'id': '1069809942'}]",
165,1647740703000.0,2022-03-20 01:45:03,+0000,,@v_e_e_e_e Me! My nursing school lifted mask mandates &amp; only a couple of us still mask. My EMT class only says “mask if you think you may be getting sick” I wear mine the whole time. My kids all wear theirs as well even though their school lifted mandates 2 weeks ago.,en,[],[],58054351,58054351,aspelina88,Future Nurse Espinoza (she/her),7,01,https://twitter.com/aspelina88/status/1505359733837864960,[],[],0,,False,17,0,0,,mask US,,,,,,,"[{'screen_name': 'v_e_e_e_e', 'name': 'Vivian', 'id': '727279089896161288'}]",
166,1647740579000.0,2022-03-20 01:42:59,+0000,,@WR4NYGov @ChristinaPushaw It’s been two yrs and not 1 randomized cluster controlled trial in the US to show the efficacy of mask. If you don’t know the effect of an intervention you can never end an intervention…,en,[],[],1463984256246554633,1463984256246554633,QuoteBenWick,Ben Wick,7,01,https://twitter.com/QuoteBenWick/status/1505359213349916677,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'WR4NYGov', 'name': 'Warren Redlich - Come and Take It - Molon TSLA', 'id': '108365454'}, {'screen_name': 'ChristinaPushaw', 'name': 'Christina Pushaw 🇺🇸', 'id': '31667539'}]",
167,1647740574000.0,2022-03-20 01:42:54,+0000,,"@Market_Squeeze @HelloDCN8ive @BudDef @ShutDown_DC This convoy is bull craps.  Mask mandates have been lifted, and restrictions were lifted the week this stupid crap started.  Please tell me what they are protesting, besides confirming for us, how selfish they are. WTF has happened to people?",en,[],[],1433473674905014276,1433473674905014276,WendyBr78861865,Wendy Browne,7,01,https://twitter.com/WendyBr78861865/status/1505359192458252288,[],[],0,,False,10,0,0,,mask US,,,,,,,"[{'screen_name': 'Market_Squeeze', 'name': 'Market_Squeeze', 'id': '1095444047966228481'}, {'screen_name': 'HelloDCN8ive', 'name': 'DCNative', 'id': '1923903278'}, {'screen_name': 'BudDef', 'name': 'Bud DeF', 'id': '138471274'}, {'screen_name': 'ShutDown_DC', 'name': 'ShutDownDC', 'id': '1171119095267377153'}]",
168,1647740543000.0,2022-03-20 01:42:23,+0000,,Can anyone provide insight into what I can do this week as my employer has directed us to continue to mask despite the mandates being dropped.  I was so excited &amp; now just more disappointment. I want my joy back. I want to be able to smile back at my customers. I want a choice!,en,[],[],576592735,576592735,96PercentCoffee,🇨🇦 Unacceptable Becca 🇨🇦,7,01,https://twitter.com/96PercentCoffee/status/1505359061302358019,[],[],0,,False,0,0,0,,mask US,,,,,,,[],
169,1647740467000.0,2022-03-20 01:41:07,+0000,,"@nathaliejacoby1 No, some great scientific and medical gains have been made in dealing with this virus. But it is not gone yet and never may be. Extreme caution is still required. I will keep wearing a mask until the real experts give us the green light.",en,[],[],371511782,371511782,MelifLewis,MelFLewis,7,01,https://twitter.com/MelifLewis/status/1505358743822745604,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'nathaliejacoby1', 'name': 'Nathalie Jacoby', 'id': '1280478731874848769'}]",
170,1647740436000.0,2022-03-20 01:40:36,+0000,,@newsmax That's great. It warns us the driver is a douchebag.,en,[],[],374932956,374932956,Luevano1,Wear a Mask!,7,01,https://twitter.com/Luevano1/status/1505358616122957825,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'newsmax', 'name': 'Newsmax', 'id': '20545835'}]",
171,1647740436000.0,2022-03-20 01:40:36,+0000,,@GoofMcFloof @typo_cat Tell us Ronny just exactly has Mr. Fauci done to bring him to justice. Transplanted 😢into Florida and will be wearing my mask.,en,[],[],1286707565322293248,1286707565322293248,Raul05331630,Raul,7,01,https://twitter.com/Raul05331630/status/1505358613468041219,[],[],0,,False,2,0,0,,mask US,,,,,,,"[{'screen_name': 'GoofMcFloof', 'name': 'Floof Vaccinated McFloof', 'id': '2821965207'}, {'screen_name': 'typo_cat', 'name': 'CatT 🌻🇺🇦Reigning Typo Queen🌻👑 🚫DMs!💉💉💉😷', 'id': '4909522369'}]",
172,1647740372000.0,2022-03-20 01:39:32,+0000,,"@GreatScottFord Well by all means, if the former FLOTUS who fibbed about, well EVERYTHING and married the 2nd only to Putin worse human monster on earth, doesn’t give a shit about anyone thinks FAKE DR OZ should be a US SENATOR..for the sake of our democracy VOTE  for someone else.",en,[],[],1045508859278712833,1045508859278712833,Pkasinger2,Wear A Mask and Please take the vaccine!,7,01,https://twitter.com/Pkasinger2/status/1505358345812672517,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'GreatScottFord', 'name': 'Scott Ford', 'id': '413327979'}]",
